"Term"	"URL"
"Conceptualization"	"https://dictionary.casrai.org/Contributor_Roles/Conceptualization"
"Data curation"	"https://dictionary.casrai.org/Contributor_Roles/Data_curation"
"Formal analysis"	"https://dictionary.casrai.org/Contributor_Roles/Formal_analysis"
"Funding acquisition"	"https://dictionary.casrai.org/Contributor_Roles/Funding_acquisition"
"Investigation"	"https://dictionary.casrai.org/Contributor_Roles/Investigation"
"Methodology"	"https://dictionary.casrai.org/Contributor_Roles/Methodology"
"Project administration"	"https://dictionary.casrai.org/Contributor_Roles/Project_administration"
"Resources"	"https://dictionary.casrai.org/Contributor_Roles/Resources"
"Software"	"https://dictionary.casrai.org/Contributor_Roles/Software"
"Supervision"	"https://dictionary.casrai.org/Contributor_Roles/Supervision"
"Validation"	"https://dictionary.casrai.org/Contributor_Roles/Validation"
"Visualization"	"https://dictionary.casrai.org/Contributor_Roles/Visualization"
"Writing – original draft"	"https://dictionary.casrai.org/Contributor_Roles/Writing_original_draft"
"Writing – review & editing"	"https://dictionary.casrai.org/Contributor_Roles/Writing_review_editing"
